,ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market
2993,005632.OF,鹏华量化先锋,鹏华基金,中国建设银行,混合型,20180223,,,20180223,,0.3271,1.5,0.25,,1.0,,,沪深300指数收益率*80%+中证全债指数收益率*20%,L,混合型,契约型开放式,,20180404,20180404,O
2995,005418.OF,申万菱信量化驱动,申万菱信基金,中国农业银行,混合型,20180222,,,20180115,,3.8934,1.5,0.25,,1.0,0.001,,中证500指数收益率*75%+中证综合债指数收益率*25%,L,混合型,契约型开放式,,20180306,20180306,O
2997,004794.OF,富荣福鑫A,富荣基金,平安银行,混合型,20180213,,,20171110,,0.0227,0.6,0.1,,1.0,0.0001,,中证全债指数收益率*70%+沪深300指数收益率*30%,L,灵活配置型,契约型开放式,,20180226,20180226,O
2998,004795.OF,富荣福鑫C,富荣基金,平安银行,混合型,20180213,,,20171110,,2.0102,0.6,0.1,,1.0,500.0,,中证全债指数收益率*70%+沪深300指数收益率*30%,L,灵活配置型,契约型开放式,,20180226,20180226,O
2999,005400.OF,万家潜力价值A,万家基金,中国农业银行,混合型,20180213,,,20180115,,6.9904,1.5,0.25,,1.0,0.001,,中证800指数收益率*50%+上证国债指数收益率*50%,L,灵活配置型,契约型开放式,,20180312,20180312,O
3000,005447.OF,银华智荟分红收益,银华基金,中国农业银行,混合型,20180213,,,20180115,,0.3064,1.5,0.25,,1.0,0.001,,沪深300指数收益率*50%+中证全债指数收益率*50%,L,灵活配置型,契约型开放式,,20180319,20180319,O
3001,005401.OF,万家潜力价值C,万家基金,中国农业银行,混合型,20180213,,,20180115,,0.0119,1.5,0.25,,1.0,0.001,,中证800指数收益率*50%+上证国债指数收益率*50%,L,灵活配置型,契约型开放式,,20180312,20180312,O
3002,004710.OF,民生加银鹏程A,民生加银基金,兴业银行,混合型,20180213,,,20171110,,2.299,0.6,0.1,,1.0,0.001,,中债总指数收益率*60%+一年期定期存款基准利率(税后)*25%+沪深300指数收益率*15%,L,混合型,契约型开放式,,20180314,20180314,O
3003,005351.OF,汇添富行业整合主题,汇添富基金,中国银行,混合型,20180213,,,20180112,,7.164,1.5,0.25,,1.0,0.001,,沪深300指数收益率*50%+中债综合财富指数收益率*30%+恒生指数收益率(使用估值汇率折算)*20%,L,混合型,契约型开放式,,20180322,20180322,O
3004,003069.OF,光大创业板量化优选A,光大保德信基金,中国建设银行,股票型,20180213,,,20171222,,7.8662,1.5,0.25,,1.0,0.0001,,创业板综合指数收益率*90%+银行活期存款利率(税后)*10%,L,股票型,契约型开放式,,20180323,20180323,O
