Ticks,Correlation,sharp_ration,mean,std,期限,债券,股票,规模,status
004175.OF,0.839387856,1.426405178,0.000435495,0.004846637,half half,24.70%,26.54%,1.6,selected
004176.OF,0.84138394,1.39366007,0.000425024,0.004841244,half half,24.70%,26.54%,2.38,selected
003025.OF,0.771383121,1.245396517,0.000548423,0.0069905,half half,15.15%,31.73%,1.11,selected
002771.OF,0.691726009,1.920078371,0.000825898,0.006828227,冲高,,46.58%,1.15,selected
001657.OF,0.798046743,1.348344263,0.000906496,0.010672483,冲高,,50.76%,0.67,selected
004423.OF,0.78088582,1.312120569,0.000886665,0.010727198,冲高,,38.18%,1.39,selected
002620.OF,0.839864388,1.157494246,0.001047061,0.014359971,冲高,,54.90%,4,selected
519228.OF,0.499289196,2.378278342,0.000370785,0.00247491,长期,26.08%,11.88%,0.8,selected
003966.OF,0.789083805,2.358559948,0.000384226,0.002586066,长期,21.55%,29.12%,0.21,selected
004609.OF,0.673921768,2.341834242,0.000402029,0.002725219,长期,64.41%,17.55%,1.19,selected
002462.OF,0.756141701,2.208506804,0.000309778,0.002226651,长期,15.69%,23.27%,0.19,selected
000215.OF,0.410308983,1.227355828,0.000423981,0.005483736,长期,20.71,7.69%,7.31,selected
