,Ticks,Correlation
5,960033.OF,0.8636342439670437
7,960028.OF,0.8597842684510689
8,960003.OF,0.9067765475828914
9,770001.OF,0.8701267241872658
10,762001.OF,0.689875560455672
11,750005.OF,0.5871556908977349
12,750001.OF,0.8622088495545897
13,740101.OF,0.9370778382919489
14,740001.OF,0.7464451968912327
15,730002.OF,0.7582255841766494
16,730001.OF,0.763804947531831
17,720001.OF,0.688518472681466
18,710002.OF,0.745098446600391
19,710001.OF,0.7039498845680344
20,700004.OF,0.510967875615116
21,700003.OF,0.737550150823265
22,700002.OF,0.8984937238734979
23,700001.OF,0.7157168579131095
24,690011.OF,0.7578839323372354
25,690009.OF,0.7860057153940008
26,690008.OF,0.8425736456584783
27,690007.OF,0.8238786896205543
28,690005.OF,0.8308623738884273
29,690004.OF,0.817195293550965
30,690003.OF,0.7969150448277827
31,690001.OF,0.7873039337496514
32,688888.OF,0.8659986957987102
33,673120.OF,0.6968604788940838
34,673110.OF,0.8864978922133505
35,673100.OF,0.9630087318195256
36,673090.OF,0.9436846238173779
37,673083.OF,0.5896096693638676
38,673081.OF,0.6745551228717748
39,673073.OF,0.6860663567077331
40,673071.OF,0.49059070475941
41,673060.OF,0.6549799669767423
42,673043.OF,0.7002519559997942
43,673040.OF,0.6886417381089025
44,673010.OF,0.7547417435711054
45,671010.OF,0.8076760966415656
46,660015.OF,0.7030769447243731
47,660012.OF,0.7256954397307342
48,660011.OF,0.8475026851309907
49,660010.OF,0.768802198370757
50,660008.OF,0.9928340393229063
51,660006.OF,0.8678954011831606
52,660005.OF,0.7421110710085757
53,660004.OF,0.7975188778849341
54,660003.OF,0.8027978022258602
55,660001.OF,0.7615584740457416
56,630016.OF,0.8032978830835836
57,630015.OF,0.8265826293372516
58,630011.OF,0.6956907740176539
59,630010.OF,0.7261196729004109
60,630008.OF,0.7975700132365136
61,630006.OF,0.7766387511539092
62,630005.OF,0.7254680362565392
63,630002.OF,0.7311618124550862
64,630001.OF,0.856665281597431
65,620007.OF,0.4905847622715543
66,620006.OF,0.8089923747840291
67,620004.OF,0.8143258910768351
68,620002.OF,0.8083509757469172
69,620001.OF,0.6693921720413568
70,610007.OF,0.7592512672402767
71,610006.OF,0.7947957849026448
72,610005.OF,0.8531921452469952
73,610004.OF,0.7883034469106748
74,610002.OF,0.8208148347806427
75,610001.OF,0.8812403637323858
76,590008.OF,0.6382548608282422
77,590006.OF,0.7522856255493032
78,590005.OF,0.7641503471996235
79,590003.OF,0.7271781342962929
80,590002.OF,0.8674084982861962
81,590001.OF,0.890954846884864
82,585001.OF,0.8769659435101748
83,580009.OF,0.8052309608032118
84,580008.OF,0.7504229426227765
85,580007.OF,0.8084568825763949
86,580006.OF,0.8554120362718513
87,580005.OF,0.7311133053880122
88,580003.OF,0.8017473987471591
89,580002.OF,0.7617417046840966
90,580001.OF,0.8023426633344569
91,571002.OF,0.8086470859412366
92,570008.OF,0.768533379971538
93,570007.OF,0.79813021847524
94,570006.OF,0.7858898024619546
95,570005.OF,0.8677286722598522
96,570001.OF,0.9171551739215718
97,560006.OF,0.7565979700907289
98,560003.OF,0.8786123072059338
99,560002.OF,0.8645496646852926
100,550016.OF,0.6054630586469588
101,550015.OF,0.6067654293782494
102,550009.OF,0.7633535577335102
103,550008.OF,0.8088131527537403
104,550003.OF,0.7780909210423929
105,550002.OF,0.8848435048898585
106,550001.OF,0.8650337912592584
107,540012.OF,0.9621202998130147
108,540010.OF,0.6939199092284987
