,ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market
8097,000433.OF,安信鑫发优选,安信基金,广发银行,混合型,20131231,,,20131211,,5.5079,1.0,0.2,,1.0,0.05,,1年期人民币定期存款基准利率+3.00%,L,灵活配置型,契约型开放式,,20140306,20140306,O
8105,160624.OF,鹏华消费领先,鹏华基金,交通银行,混合型,20131223,,,20140102,,18.8775,1.5,0.25,,1.0,0.1,,沪深300指数收益率*60%+中证综合债指数收益率*40%,L,灵活配置型,契约型开放式,,20140321,20140321,O
8107,165521.OF,信诚中证800金融,中信保诚基金,中国建设银行,股票型,20131220,,,20131125,,2.3668,1.0,0.22,,1.0,0.1,,中证800金融价格指数收益率*95%+金融同业存款利率*5%,L,被动指数型,契约型开放式,,20140122,20140122,O
8109,000423.OF,前海开源事件驱动A,前海开源基金,上海银行,混合型,20131219,,,20131115,,1.2852,0.9,0.05,,1.0,0.1,,沪深300指数收益率*70%+中证全债指数收益率*30%,L,灵活配置型,契约型开放式,,20140210,20140210,O
8110,519056.OF,海富通内需热点,海富通基金,中国银行,混合型,20131219,,,20131118,,3.9158,1.5,0.25,,1.0,0.01,,MSCI中国A股指数*80%+上证国债指数*20%,L,混合型,契约型开放式,,20140210,20140210,O
8117,000436.OF,易方达裕惠回报,易方达基金,兴业银行,混合型,20131217,,,20131210,,10.0008,0.4,0.1,,1.0,0.01,,三年期银行定期整存整取存款利率(税后)+1.75%,L,混合型,契约型开放式,,20140314,20140314,O
8118,000362.OF,国泰聚信价值优势A,国泰基金,广发银行,混合型,20131217,,,20131014,,0.7107,1.5,0.2,,1.0,0.01,,沪深300指数收益率*80%+上证国债指数收益率*20%,L,灵活配置型,契约型开放式,,20131220,20131220,O
8119,000363.OF,国泰聚信价值优势C,国泰基金,广发银行,混合型,20131217,,,20131014,,1.4263,1.5,0.2,,1.0,0.01,,沪深300指数收益率*80%+上证国债指数收益率*20%,L,灵活配置型,契约型开放式,,20131220,20131220,O
8121,000418.OF,景顺长城成长之星,景顺长城基金,中国工商银行,股票型,20131213,,,20131113,,5.3577,1.5,0.25,,1.0,0.1,,沪深300指数*90%+中证全债指数*10%,L,股票型,契约型开放式,,20131224,20140312,O
8123,000410.OF,益民服务领先,益民基金,中国光大银行,混合型,20131213,,,20131111,,10.8412,0.9,0.25,,1.0,0.01,,沪深300指数收益率*65%+中证全债指数收益率*35%,L,灵活配置型,契约型开放式,,20140114,20140114,O
8124,000408.OF,民生加银城镇化,民生加银基金,中国建设银行,混合型,20131212,,,20131111,,2.3592,1.5,0.25,,1.0,0.01,,沪深300指数收益率*60%+中证国债指数收益率*40%,L,灵活配置型,契约型开放式,,20140106,20140106,O
8127,000390.OF,华商优势行业,华商基金,中国建设银行,混合型,20131211,,,20131114,,6.3955,1.5,0.25,,1.0,0.1,,沪深300指数收益率*55%+上证国债指数收益率*45%,L,灵活配置型,契约型开放式,,20140103,20140103,O
8131,000214.OF,广发成长优选,广发基金,交通银行,混合型,20131211,,,20131111,,3.5058,0.6,0.1,,1.0,0.1,,沪深300指数*50%+中证全债指数*50%,L,灵活配置型,契约型开放式,,20140210,20140210,O
