trade_date,ts_code,close,open,high,low,pre_close,change,pct_chg,vol,amount,log_ret,log_return_5_days,daily_open_close_change_log,daily_high_low_change_log,hidden_states
2016-03-01,399300.SZ,2930.694,2881.335,2950.436,2863.323,2877.467,53.227,1.8498,116045918.0,110491037.808,0.0183288617906241,-0.052725665740423366,0.01698552663804609,0.006713700990736982,5
2016-03-02,399300.SZ,3051.333,2933.921,3054.724,2933.116,2930.694,120.639,4.1164,175972347.0,164025161.471,0.0403392892711558,-0.018897868915646043,0.03923879066189251,0.0011107005219930244,5
2016-03-03,399300.SZ,3058.422,3050.389,3078.444,3040.246,3051.333,7.089,0.2323,173105744.0,165509087.742,0.00232055235640871,0.04674365424281213,0.0026299732076164872,0.006525177848514474,5
2016-03-04,399300.SZ,3093.89,3047.537,3101.656,3032.424,3058.422,35.468,1.1597,219172534.0,205520475.543,0.0115301021583676,0.04829170896064916,0.015095475437401973,0.002506963572656673,5
2016-03-07,399300.SZ,3104.84,3108.999,3130.903,3083.584,3093.89,10.95,0.3539,132462037.0,127790344.488,0.00353298543082659,0.0760517910073828,-0.0013386251626563705,0.00835927707987949,5
2016-03-08,399300.SZ,3107.673,3100.149,3109.25,3001.829,3104.84,2.833,0.0912,136235742.0,128758488.144,0.000912030347903325,0.058634959564662026,0.002424039762813024,0.000507324936732445,5
2016-03-09,399300.SZ,3071.907,3045.924,3072.916,3020.134,3107.673,-35.766,-1.1509,111466245.0,106298652.785,-0.0115756732253036,0.006719997068202588,0.008494237983070363,0.0003284065331303765,5
2016-03-10,399300.SZ,3013.146,3056.21,3074.16,3012.691,3071.907,-58.761,-1.9129,76072197.0,78180468.559,-0.0193138257278136,-0.014914381016019718,-0.0141908705589735,0.020046977546989808,5
2016-03-11,399300.SZ,3018.284,2990.214,3026.437,2982.172,3013.146,5.138,0.1705,73333564.0,74367296.548,0.0017037423108146,-0.024740740863572697,0.009343501224874373,0.0026975620360332186,5
2016-03-14,399300.SZ,3065.69,3039.569,3106.8,3034.0,3018.284,47.406,1.5706,117108655.0,123539094.703,0.0155842084283666,-0.012689517866032674,0.008556937349915472,0.013320591162310436,5
2016-03-15,399300.SZ,3074.78,3061.343,3077.085,3028.578,3065.69,9.09,0.2965,98311941.0,101302845.698,0.00296068758254542,-0.01064086063139058,0.004379645413969513,0.000749366284162889,5
2016-03-16,399300.SZ,3090.033,3068.866,3100.352,3064.521,3074.78,15.253,0.4961,124736448.0,126128854.001,0.00494841648068878,0.0058832290746018145,0.006873658210670541,0.003333882967789137,5
2016-03-17,399300.SZ,3124.204,3096.808,3147.841,3077.572,3090.033,34.171,1.1058,121661777.0,136603715.775,0.0109977602774372,0.03619481507985256,0.008807627151945496,0.007537290278643027,5
2016-03-18,399300.SZ,3171.963,3136.223,3197.668,3130.102,3124.204,47.759,1.5287,197302564.0,210017810.346,0.0151711083979116,0.04966218116694954,0.011331429485762712,0.008071154998694041,5
2016-03-21,399300.SZ,3249.437,3203.293,3267.775,3198.361,3171.963,77.474,2.4425,233269464.0,256836636.273,0.0241311114266054,0.05820908416518833,0.014302407382396964,0.005627574612088182,5
2016-03-22,399300.SZ,3225.79,3231.615,3249.677,3218.728,3249.437,-23.647,-0.7277,161020897.0,194211982.989,-0.0073038690762921,0.04794452750635081,-0.0018041307862759481,0.0073777252973421525,5
2016-03-23,399300.SZ,3236.092,3217.729,3242.247,3202.976,3225.79,10.302,0.3194,125679286.0,155567074.583,0.00318854746286767,0.046184658488529706,0.005690597726188074,0.0019001789971095917,5
